Building_Meter,FALSE,TRUE,PCNT
24.0 - BLD 04_7889812,94,9,0.087378641
24.0 - BLD 05_7889811,93,10,0.097087379
24.0 - BLD 06_7889786,99,4,0.038834951
24.0 - BLD 07_7889787,76,4,0.05
24.0 - BLD 08_7889780,96,7,0.067961165
24.0 - BLD 09_7889801,95,8,0.077669903
24.0 - BLD 10_7889785,96,7,0.067961165
24.0 - BLD 11_7889830,94,9,0.087378641
24.0 - BLD 12_7889790,95,8,0.077669903
24.0 - BLD 13_7889829,95,8,0.077669903
24.0 - BLD 14_7889832,100,3,0.029126214
24.0 - BLD 15_7889779,96,7,0.067961165
240.0 - BLD 01_7695001,94,8,0.078431373
240.0 - BLD 02_5649563,94,8,0.078431373
240.0 - BLD 03_7545100,97,6,0.058252427
241.0 - BLD 01_7505088,99,4,0.038834951
242.0 - BLD 01_6250406,101,2,0.019417476
243.0 - BLD 01_7719116,100,3,0.029126214
243.0 - BLD 04_7719126,101,2,0.019417476
243.0 - BLD 07_8095054,100,3,0.029126214
243.0 - BLD 07_8095078,99,4,0.038834951
243.0 - BLD 16 - Community Center_7719191,79,1,0.0125
245.0 - BLD 34_7252789,101,2,0.019417476
245.0 - BLD 35_8350389,95,8,0.077669903
245.0 - BLD 36_8350388,95,8,0.077669903
246.0 - BLD 01_8545895,95,8,0.077669903
247.0 - BLD 01_7424135,98,5,0.048543689
247.0 - BLD 02_8072720,98,4,0.039215686
247.0 - BLD 03_3276276,98,5,0.048543689
247.0 - BLD 03_4047142,98,5,0.048543689
247.0 - BLD 04 - Community Center_6540936,98,5,0.048543689
247.0 - BLD 04_5705455,93,10,0.097087379
247.0 - BLD 06 - Community Center_7424243,99,4,0.038834951
25.0 - BLD 01_8142997,96,4,0.04
25.0 - BLD 02_8143007,98,2,0.02
25.0 - BLD 04_8143003,84,3,0.034482759
25.0 - BLD 04_8143013,84,3,0.034482759
25.0 - BLD 05_8143000,90,10,0.1
25.0 - BLD 06_8143014,96,4,0.04
25.0 - BLD 07_8143011,97,3,0.03
25.0 - BLD 08_8143010,95,5,0.05
25.0 - BLD 09_7929883,95,5,0.05
25.0 - BLD 10_8143002,98,2,0.02
25.0 - BLD 11_8143005,84,3,0.034482759
25.0 - BLD 12_8301080,48,2,0.04
25.0 - BLD 13_8143009,93,7,0.07
25.0 - BLD 14_8301079,46,4,0.08
252.0 - BLD 01_7972522,93,10,0.097087379
252.0 - BLD 02_7834070,101,2,0.019417476
252.0 - BLD 03_7692890,101,2,0.019417476
256.0 - BLD 01_8301116,101,2,0.019417476
26.0 - BLD 01_8142853,72,4,0.052631579
26.0 - BLD 02_8142869,74,2,0.026315789
26.0 - BLD 03_8142872,74,2,0.026315789
26.0 - BLD 04_8142865,71,5,0.065789474
26.0 - BLD 05_8142861,73,3,0.039473684
