account,points,anomalies
228.0 - BLD 02_7466780,71,2
228.0 - BLD 04_5704895,103,0
228.0 - BLD 06 - Community Center_6443504,103,0
228.0 - NA_7838764,100,3
229.0 - BLD 01_8448796,58,0
229.0 - BLD 02_7695015,85,2
229.0 - BLD 02_8393792,61,1
229.0 - BLD 02_8448795,59,5
23.0 - WALD BLD 01_8142768,87,3
23.0 - WALD BLD 02_8096640,88,4
23.0 - WALD BLD 03_8096626,88,3
23.0 - WALD BLD 04_8142775,88,5
23.0 - WALD BLD 05_8093921,88,3
23.0 - WALD BLD 06_8322243,88,5
23.0 - WALD BLD 07_7929552,88,4
23.0 - WALD BLD 08_8096621,88,3
23.0 - WALD BLD 09_7929571,88,5
23.0 - WALD BLD 10_8096625,88,5
23.0 - WALD BLD 11_8096622,88,5
23.0 - WALD BLD 12_8321865,88,6
23.0 - WALD BLD 13_8142763,88,5
23.0 - WALD BLD 14_7929558,88,4
23.0 - WALD BLD 15_8095198,63,4
23.0 - WALD BLD 16_8095196,63,3
23.0 - WALD BLD 17_8096619,88,1
230.0 - BLD 01_7025562,103,3
230.0 - BLD 03_8768343,102,3
230.0 - BLD 05_8448234,63,1
230.0 - BLD 06_8768345,103,1
230.0 - BLD 07_6356783,102,0
230.0 - BLD 08_7837000,103,2
231.0 - BLD 03_7117273,99,0
231.0 - BLD 07_8448279,59,1
232.0 - BLD 01_5706459,103,2
233.0 - BLD 01 - Community Center_8072540,102,2
233.0 - BLD 01_8072539,103,4
234.0 - BLD 01_6867547,103,1
234.0 - BLD 02_6822570,103,4
234.0 - BLD 05_6815000,103,4
235.0 - BLD 01_7505240,101,9
236.0 - BLD 01_7719778,103,0
237.0 - BLD 01_7031076,103,4
237.0 - BLD 02_7209822,103,2
238.0 - BLD 01_7404459,69,8
239.0 - BLD 01_7573694,103,0
24.0 - BLD 01_7889794,103,2
24.0 - BLD 02_7889789,103,1
24.0 - BLD 03_7889798,103,6
24.0 - BLD 04_7889812,103,1
24.0 - BLD 05_7889811,103,2
24.0 - BLD 06_7889786,103,2
24.0 - BLD 07_7889787,80,6
24.0 - BLD 08_7889780,103,1
24.0 - BLD 09_7889801,103,1
24.0 - BLD 10_7889785,103,2
24.0 - BLD 11_7889830,103,3
24.0 - BLD 12_7889790,103,3
24.0 - BLD 13_7889829,103,0
24.0 - BLD 14_7889832,103,2
24.0 - BLD 15_7889779,103,1
240.0 - BLD 01_7695001,102,3
240.0 - BLD 02_5649563,102,0
240.0 - BLD 03_7545100,103,0
241.0 - BLD 01_7505088,103,0
242.0 - BLD 01_6250406,103,5
243.0 - BLD 01_7719116,103,3
243.0 - BLD 04_7719126,103,7
243.0 - BLD 07_8095054,103,0
243.0 - BLD 07_8095078,103,1
243.0 - BLD 16 - Community Center_7719191,80,0
245.0 - BLD 34_7252789,103,4
245.0 - BLD 35_8350389,103,1
245.0 - BLD 36_8350388,103,0
246.0 - BLD 01_8545895,103,0
247.0 - BLD 01_7424135,103,1
247.0 - BLD 02_8072720,102,5
247.0 - BLD 03_3276276,103,4
247.0 - BLD 03_4047142,103,2
247.0 - BLD 04 - Community Center_6540936,103,3
247.0 - BLD 04_5705455,103,0
247.0 - BLD 06 - Community Center_7424243,103,3
25.0 - BLD 01_8142997,100,4
25.0 - BLD 02_8143007,100,10
25.0 - BLD 04_8143003,87,9
25.0 - BLD 04_8143013,87,5
